GPU arch: gfx950

shape                 B  kernel                         ms     TFLOP/s        GB/s
--------------------------------------------------------------------------------
  deepseek-v3           1  gate_up_bf16x2           0.1023        4.59      6886.5
  deepseek-v3           1  gate_bf16x_fp8w          0.1098        4.28      4278.4
  deepseek-v3           1  down_h2_d2               0.1167        2.01      2013.2
  deepseek-v3           1  down_h2_fp8w_d2          0.1014        2.32      1158.3
  deepseek-v3           1  down_h2_f32_nw2          0.1007        2.33      2333.9
  deepseek-v3           1  down_h2_f32_nw4          0.0993        2.36      2365.2
  deepseek-v3           1  gate_up_sk_kb2           0.1700        2.76      4145.6
  deepseek-v3           2  gate_up_bf16x2           0.2112        4.45      6674.0
  deepseek-v3           2  gate_bf16x_fp8w          0.1633        5.76      5755.0
  deepseek-v3           2  down_h2_d2               0.2318        2.03      2027.0
  deepseek-v3           2  down_h2_fp8w_d2          0.1530        3.07      1535.8
  deepseek-v3           2  down_h2_f32_nw2          0.2128        2.21      2208.5
  deepseek-v3           2  down_h2_f32_nw4          0.1733        2.71      2711.4
  deepseek-v3           2  gate_up_sk_kb2           0.2139        4.39      6589.6
  deepseek-v3           4  gate_up_bf16x2           0.3791        4.96      7436.2
  deepseek-v3           4  gate_bf16x_fp8w          0.2932        6.41      6409.0
  deepseek-v3           4  down_h2_d2               0.4960        1.89      1894.8
  deepseek-v3           4  down_h2_fp8w_d2          0.3283        2.86      1431.8
  deepseek-v3           4  down_h2_f32_nw2          0.3655        2.57      2570.9
  deepseek-v3           4  down_h2_f32_nw4          0.3029        3.10      3102.9
  deepseek-v3           4  gate_up_sk_kb2           0.4106        4.58      6864.7
  deepseek-v3           8  gate_up_bf16x2           0.7626        4.93      7391.9
  deepseek-v3           8  gate_bf16x_fp8w          0.5781        6.50      6501.0
  deepseek-v3           8  down_h2_d2               0.9384        2.00      2003.0
  deepseek-v3           8  down_h2_fp8w_d2          0.6356        2.96      1479.0
  deepseek-v3           8  down_h2_f32_nw2          0.7142        2.63      2631.5
  deepseek-v3           8  down_h2_f32_nw4          0.5774        3.25      3255.0
  deepseek-v3           8  gate_up_sk_kb2           0.8390        4.48      6719.2
  qwen3next             1  gate_up_bf16x2           0.0975        0.43       645.5
  qwen3next             1  gate_bf16x_fp8w          0.0882        0.48       475.4
  qwen3next             1  down_h2_d2               0.0986        0.21       212.9
  qwen3next             1  down_h2_fp8w_d2          0.0993        0.21       105.7
  qwen3next             1  down_h2_f32_nw2          0.1066        0.20       196.9
  qwen3next             1  down_h2_f32_nw4          0.1023        0.21       205.3
  qwen3next             1  gate_up_sk_kb2           0.1700        0.25       370.2
  qwen3next             1  gate_up_sk_kb4           0.1661        0.25       378.9
  qwen3next             2  gate_up_bf16x2           0.0828        1.01      1520.5
  qwen3next             2  gate_bf16x_fp8w          0.0845        0.99       992.5
  qwen3next             2  down_h2_d2               0.0934        0.45       449.4
  qwen3next             2  down_h2_fp8w_d2          0.0942        0.45       223.1
  qwen3next             2  down_h2_f32_nw2          0.0955        0.44       439.5
  qwen3next             2  down_h2_f32_nw4          0.0920        0.46       456.1
  qwen3next             2  gate_up_sk_kb2           0.1644        0.51       765.4
  qwen3next             2  gate_up_sk_kb4           0.1601        0.52       785.9
  qwen3next             4  gate_up_bf16x2           0.0824        2.04      3052.8
  qwen3next             4  gate_bf16x_fp8w          0.0812        2.07      2067.3
  qwen3next             4  down_h2_d2               0.0973        0.86       862.6
  qwen3next             4  down_h2_fp8w_d2          0.0928        0.90       452.6
  qwen3next             4  down_h2_f32_nw2          0.0917        0.91       915.8
  qwen3next             4  down_h2_f32_nw4          0.0987        0.85       851.0
  qwen3next             4  gate_up_sk_kb2           0.1605        1.05      1568.1
  qwen3next             4  gate_up_sk_kb4           0.1601        1.05      1572.2
  qwen3next             8  gate_up_bf16x2           0.0878        3.83      5735.0
  qwen3next             8  gate_bf16x_fp8w          0.0829        4.05      4049.1
  qwen3next             8  down_h2_d2               0.0956        1.75      1755.9
  qwen3next             8  down_h2_fp8w_d2          0.1018        1.65       825.2
  qwen3next             8  down_h2_f32_nw2          0.0923        1.82      1819.9
  qwen3next             8  down_h2_f32_nw4          0.0920        1.82      1825.7
  qwen3next             8  gate_up_sk_kb2           0.1614        2.08      3119.0
  qwen3next             8  gate_up_sk_kb4           0.1607        2.09      3132.3
  minimax               1  gate_up_bf16x2           0.0904        1.67      2506.5
  minimax               1  gate_bf16x_fp8w          0.0894        1.69      1689.3
  minimax               1  down_h2_d2               0.1011        0.75       746.9
  minimax               1  down_h2_fp8w_d2          0.1027        0.74       367.9
  minimax               1  down_h2_f32_nw2          0.1038        0.73       727.4
  minimax               1  down_h2_f32_nw4          0.1045        0.72       723.1
  minimax               1  gate_up_sk_kb2           0.1661        0.91      1363.5
  minimax               2  gate_up_bf16x2           0.0837        3.61      5413.8
  minimax               2  gate_bf16x_fp8w          0.0940        3.21      3213.7
  minimax               2  down_h2_d2               0.0963        1.57      1569.1
  minimax               2  down_h2_fp8w_d2          0.0961        1.57       786.3
  minimax               2  down_h2_f32_nw2          0.0975        1.55      1550.1
  minimax               2  down_h2_f32_nw4          0.0932        1.62      1620.9
  minimax               2  gate_up_sk_kb2           0.1592        1.90      2846.5
  minimax               4  gate_up_bf16x2           0.1323        4.57      6850.6
  minimax               4  gate_bf16x_fp8w          0.1081        5.59      5589.1
  minimax               4  down_h2_d2               0.1533        1.97      1971.5
  minimax               4  down_h2_fp8w_d2          0.1022        2.96      1479.4
  minimax               4  down_h2_f32_nw2          0.0993        3.04      3042.2
  minimax               4  down_h2_f32_nw4          0.0941        3.21      3209.4
  minimax               4  gate_up_sk_kb2           0.1642        3.68      5519.5
  minimax               8  gate_up_bf16x2           0.2406        5.02      7531.1
  minimax               8  gate_bf16x_fp8w          0.1935        6.24      6242.8
  minimax               8  down_h2_d2               0.3178        1.90      1901.7
  minimax               8  down_h2_fp8w_d2          0.2334        2.59      1295.0
  minimax               8  down_h2_f32_nw2          0.2087        2.89      2896.1
  minimax               8  down_h2_f32_nw4          0.1815        3.33      3329.1
  minimax               8  gate_up_sk_kb2           0.2839        4.26      6383.0
